id,reactionTime,elapsedTime,correct,answer,valance,congruency,block,phase,questionCounter,,,,
ex1.1.18,2241,873,TRUE,?,negative,congruent,1,1,22,,negative,1071.800,"1,381.438"
ex1.2.19,620,670,TRUE,?,negative,congruent,1,1,24,,,,
ex1.1.19,526,1072,TRUE,?,negative,congruent,1,1,25,,,,
ex1.2.17,776,989,TRUE,?,negative,congruent,1,1,42,,TT mean/s,,
ex1.1.16,1045,394,TRUE,?,negative,congruent,1,1,48,,,congruency,Incongruency
ex.1.4.18,966,421,TRUE,?,negative,congruent,1,1,49,,positive,"1,671.579",1817.056
ex.1.4.17,792,1801,TRUE,?,negative,congruent,1,1,50,,negative,2166.667,"2,449.750"
ex1.3.16,1163,643,TRUE,?,negative,congruent,1,1,63,,,,
ex1.1.17,1806,1538,TRUE,?,negative,congruent,1,1,64,,,,
ex.1.4.16,1123,1557,TRUE,?,negative,congruent,1,1,68,,,,
ex1.2.18,1087,957,TRUE,?,negative,congruent,1,1,75,,,,
ex1.3.19,989,2311,TRUE,?,negative,congruent,1,1,84,,,,
ex1.3.20,1223,682,TRUE,?,negative,congruent,1,1,114,,,,
ex.1.4.10,643,1305,TRUE,?,positive,incongruent,1,1,9,,,,
ex1.3.8,800,447,TRUE,?,positive,incongruent,1,1,14,,,,
ex1.1.9,1487,785,TRUE,?,positive,incongruent,1,1,19,,,,
ex1.2.7,1289,963,TRUE,?,positive,incongruent,1,1,39,,,,
ex1.1.7,718,847,TRUE,?,positive,incongruent,1,1,44,,,,
ex1.2.6,838,2294,TRUE,?,positive,incongruent,1,1,53,,,,
ex1.2.9,477,1235,TRUE,?,positive,incongruent,1,1,56,,,,
ex.1.4.8,1926,996,TRUE,?,positive,incongruent,1,1,61,,,,
ex1.2.8,654,760,TRUE,?,positive,incongruent,1,1,66,,,,
ex.1.4.7,968,411,TRUE,?,positive,incongruent,1,1,77,,,,
ex.1.4.9,620,1069,TRUE,?,positive,incongruent,1,1,85,,,,
ex1.1.10,614,559,TRUE,?,positive,incongruent,1,1,86,,,,
ex1.1.6,923,1093,TRUE,?,positive,incongruent,1,1,93,,,,
ex1.3.9,814,613,TRUE,?,positive,incongruent,1,1,95,,,,
ex1.3.6,1060,304,TRUE,?,positive,incongruent,1,1,99,,,,
ex1.3.10,642,1107,TRUE,?,positive,incongruent,1,1,107,,,,
ex1.1.8,910,886,TRUE,?,positive,incongruent,1,1,110,,,,
ex1.3.7,633,1017,TRUE,?,positive,incongruent,1,1,117,,,,
ex1.1.14,676,1116,TRUE,?,negative,incongruent,1,1,8,,,,
ex1.3.15,747,2425,TRUE,?,negative,incongruent,1,1,15,,,,
ex1.1.13,1343,531,TRUE,?,negative,incongruent,1,1,21,,,,
ex1.2.12,984,2219,TRUE,?,negative,incongruent,1,1,40,,,,
ex1.1.15,794,2317,TRUE,?,negative,incongruent,1,1,52,,,,
ex.1.4.14,667,1032,TRUE,?,negative,incongruent,1,1,67,,,,
ex1.3.12,1150,1134,TRUE,?,negative,incongruent,1,1,71,,,,
ex.1.4.15,1158,484,TRUE,?,negative,incongruent,1,1,72,,,,
ex1.2.11,1022,486,TRUE,?,negative,incongruent,1,1,74,,,,
ex1.3.11,1384,493,TRUE,?,negative,incongruent,1,1,78,,,,
ex.1.4.12,1283,461,TRUE,?,negative,incongruent,1,1,82,,,,
ex1.1.11,1149,1877,TRUE,?,negative,incongruent,1,1,96,,,,
ex1.2.13,1227,2317,TRUE,?,negative,incongruent,1,1,97,,,,
ex1.2.15,1395,3306,TRUE,?,negative,incongruent,1,1,105,,,,
ex1.1.12,1104,1006,TRUE,?,negative,incongruent,1,1,109,,,,
ex1.3.13,1010,899,TRUE,?,negative,incongruent,1,1,115,,,,
ex.1.4.6,812,1429,FALSE,?,positive,incongruent,1,1,2,,,,
ex.1.4.11,1949,540,FALSE,?,negative,incongruent,1,1,5,,,,
ex.1.4.5,1008,1121,FALSE,?,positive,congruent,1,1,28,,,,
ex1.2.10,1796,470,FALSE,?,positive,incongruent,1,1,34,,,,
ex.1.4.13,950,2859,FALSE,?,negative,incongruent,1,1,37,,,,
ex.1.4.27,1977,1218,FALSE,?,neutral,/,1,1,47,,,,
ex1.1.20,1310,1193,FALSE,?,negative,congruent,1,1,60,,,,
ex.1.4.19,1051,691,FALSE,?,negative,congruent,1,1,65,,,,
ex1.3.14,995,1253,FALSE,?,negative,incongruent,1,1,87,,,,
ex1.3.17,1892,758,FALSE,?,negative,congruent,1,1,102,,,,
ex1.3.18,658,492,FALSE,?,negative,congruent,1,1,108,,,,
ex1.2.14,1015,1228,FALSE,?,negative,incongruent,1,1,118,,,,
ex1.2.29,1059,898,FALSE,?,neutral,/,1,1,119,,,,
